05-10-2023 15:54:06.414 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.buildDefaultMergedContextConfiguration - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.AopAndLog.AopAndLogApplicationTests], using SpringBootContextLoader
05-10-2023 15:54:06.433 [main] INFO  o.s.t.c.s.AbstractContextLoader.generateDefaultLocations - Could not detect default resource locations for test class [com.example.AopAndLog.AopAndLogApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
05-10-2023 15:54:06.435 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [com.example.AopAndLog.AopAndLogApplicationTests]: AopAndLogApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
05-10-2023 15:54:06.665 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses - Found @SpringBootConfiguration com.example.AopAndLog.AopAndLogApplication for test class com.example.AopAndLog.AopAndLogApplicationTests
05-10-2023 15:54:07.045 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
05-10-2023 15:54:07.090 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2755d705, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@56db847e, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@740abb5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@560cbf1a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5fe8b721, org.springframework.test.context.support.DirtiesContextTestExecutionListener@551a20d6, org.springframework.test.context.event.EventPublishingTestExecutionListener@578524c3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@64c2b546, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7e094740, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7a11c4c7, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4cc547a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7555b920, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4152d38d]
05-10-2023 15:54:07.868 [main] INFO  c.e.A.AopAndLogApplicationTests.logStarting - Starting AopAndLogApplicationTests using Java 17.0.2 on DESKTOP-9GLOO39 with PID 14412 (started by admin in G:\Sts-practice\my-learn\AopAndLog)
05-10-2023 15:54:07.883 [main] INFO  c.e.A.AopAndLogApplicationTests.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
05-10-2023 15:54:12.329 [main] INFO  c.e.A.AopAndLogApplicationTests.logStarted - Started AopAndLogApplicationTests in 5.093 seconds (JVM running for 7.912)
05-10-2023 15:55:13.105 [main] INFO  c.e.AopAndLog.AopAndLogApplication.logStarting - Starting AopAndLogApplication using Java 17.0.2 on DESKTOP-9GLOO39 with PID 14160 (G:\Sts-practice\my-learn\AopAndLog\target\classes started by admin in G:\Sts-practice\my-learn\AopAndLog)
05-10-2023 15:55:13.111 [main] INFO  c.e.AopAndLog.AopAndLogApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
